Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,
.White alone or in combination,1353,1328,98.2,0.9,974,72,2.9,795,58.7,3.2
..White non-Hispanic alone or in combination,1306,1302,99.7,0.4,958,73.3,3,782,59.9,3.3
.Black alone or in combination ,700,700,100,-,533,76.2,4.7,466,66.6,5.2
.Asian alone or in combination,8,-,(B),(B),-,(B),(B),-,(B),(B)
MISSOURI,,,,,,,,,,
.Total,4243,4106,96.8,0.8,3336,78.6,1.8,2815,66.3,2
.Male,2023,1933,95.6,1.3,1540,76.1,2.7,1299,64.2,3
.Female,2219,2173,97.9,0.9,1796,80.9,2.4,1516,68.3,2.8
.White alone,3636,3538,97.3,0.8,2865,78.8,1.9,2424,66.7,2.2
..White non-Hispanic alone,3544,3483,98.3,0.6,2822,79.6,1.9,2393,67.5,2.2
.Black alone,433,433,100,-,382,88.2,5.3,324,74.7,7.1
.Asian alone,55,27,(B),(B),13,(B),(B),13,(B),(B)
.Hispanic (of any race),115,68,58.8,20.3,50,43.3,20.5,35,30.1,18.9
.White alone or in combination,3702,3604,97.4,0.7,2917,78.8,1.9,2468,66.7,2.2
..White non-Hispanic alone or in combination,3610,3549,98.3,0.6,2874,79.6,1.9,2437,67.5,2.2
.Black alone or in combination ,455,455,100,-,399,87.6,5.3,335,73.6,7.1
.Asian alone or in combination,57,29,(B),(B),15,(B),(B),15,(B),(B)
MONTANA,,,,,,,,,,
.Total,690,687,99.6,0.3,519,75.1,2.2,482,69.9,2.4
.Male,339,338,99.8,0.4,252,74.5,3.2,231,68.1,3.4
.Female,352,350,99.4,0.6,266,75.7,3.1,252,71.6,3.3
.White alone,647,646,99.8,0.2,493,76.1,2.3,461,71.1,2.4
..White non-Hispanic alone,637,636,99.8,0.3,486,76.3,2.3,456,71.5,2.4
.Black alone,-,-,(B),(B),-,(B),(B),-,(B),(B)
.Asian alone,3,1,(B),(B),-,(B),(B),-,(B),(B)
.Hispanic (of any race),12,12,(B),(B),6,(B),(B),5,(B),(B)
.White alone or in combination,657,655,99.8,0.2,498,75.9,2.3,465,70.8,2.4
..White non-Hispanic alone or in combination,646,645,99.8,0.2,492,76.1,2.3,460,71.2,2.4
.Black alone or in combination ,-,-,(B),(B),-,(B),(B),-,(B),(B)
.Asian alone or in combination,4,2,(B),(B),-,(B),(B),-,(B),(B)
NEBRASKA,,,,,,,,,,
.Total,1294,1215,93.9,1.1,918,70.9,2.1,793,61.3,2.2
.Male,628,585,93.2,1.7,431,68.7,3,367,58.4,3.2
.Female,667,630,94.5,1.4,487,73,2.8,426,64,3.1
.White alone,1181,1127,95.4,1,865,73.3,2.1,755,63.9,2.3
..White non-Hispanic alone,1089,1084,99.6,0.3,845,77.6,2.1,741,68.1,2.3
.Black alone,51,47,(B),(B),31,(B),(B),21,(B),(B)
.Asian alone,16,7,(B),(B),2,(B),(B),2,(B),(B)
.Hispanic (of any race),119,56,47.2,11.8,27,23,10,19,16.2,8.7
.White alone or in combination,1198,1143,95.4,1,877,73.2,2.1,762,63.6,2.3
..White non-Hispanic alone or in combination,1103,1099,99.6,0.3,854,77.4,2.1,748,67.8,2.3
.Black alone or in combination ,53,49,(B),(B),31,(B),(B),21,(B),(B)
.Asian alone or in combination,16,7,(B),(B),2,(B),(B),2,(B),(B)
NEVADA,,,,,,,,,,
.Total,1699,1477,87,1.4,965,56.8,2,871,51.3,2
.Male,856,743,86.8,1.9,471,55,2.8,421,49.2,2.9
.Female,842,734,87.1,1.9,494,58.7,2.8,450,53.4,2.9
.White alone,1445,1260,87.2,1.5,844,58.4,2.2,763,52.8,2.2
..White non-Hispanic alone,1168,1123,96.1,0.9,770,65.9,2.3,696,59.6,2.4
.Black alone,113,108,95.7,3.8,61,54.1,9.5,56,49.6,9.5
.Asian alone,84,64,(B),(B),31,(B),(B),29,(B),(B)
.Hispanic (of any race),301,151,50.2,7.6,83,27.6,6.8,72,23.8,6.4
.White alone or in combination,1465,1280,87.4,1.4,859,58.7,2.1,775,52.9,2.2
..White non-Hispanic alone or in combination,1182,1137,96.2,0.9,780,66,2.3,705,59.7,2.4
.Black alone or in combination ,122,117,96,3.6,69,56.8,9.1,63,52,9.2
.Asian alone or in combination,88,68,(B),(B),35,(B),(B),32,(B),(B)
NEW HAMPSHIRE,,,,,,,,,,
.Total,982,948,96.5,0.8,716,72.9,1.9,677,68.9,2
.Male,479,461,96.1,1.2,341,71.2,2.7,320,66.7,2.9
.Female,503,487,96.8,1,375,74.6,2.6,358,71.1,2.7
.White alone,943,922,97.7,0.6,699,74.1,1.9,663,70.3,2
..White non-Hispanic alone,932,914,98,0.6,695,74.5,1.9,659,70.6,2
.Black alone,6,3,(B),(B),2,(B),(B),1,(B),(B)
.Asian alone,17,8,(B),(B),5,(B),(B),5,(B),(B)
.Hispanic (of any race),11,9,(B),(B),5,(B),(B),5,(B),(B)
.White alone or in combination,956,935,97.8,0.6,708,74,1.9,670,70.1,2
..White non-Hispanic alone or in combination,945,926,98,0.6,703,74.4,1.9,665,70.4,2
.Black alone or in combination ,7,4,(B),(B),3,(B),(B),2,(B),(B)
.Asian alone or in combination,18,9,(B),(B),6,(B),(B),6,(B),(B)
NEW JERSEY,,,,,,,,,,
.Total,6413,5591,87.2,1.1,4085,63.7,1.6,3693,57.6,1.7
.Male,3052,2621,85.9,1.7,1852,60.7,2.4,1676,54.9,2.4
.Female,3361,2971,88.4,1.5,2233,66.4,2.2,2017,60,2.3
.White alone,5174,4621,89.3,1.2,3410,65.9,1.8,3086,59.7,1.8
..White non-Hispanic alone,4354,4189,96.2,0.8,3108,71.4,1.9,2839,65.2,2
.Black alone,845,732,86.7,3.8,523,61.9,5.5,462,54.7,5.6
.Asian alone,335,194,58.1,9.2,115,34.3,8.9,107,32.1,8.7
.Hispanic (of any race),906,475,52.4,7.1,331,36.6,6.8,277,30.6,6.5
.White alone or in combination,5227,4658,89.1,1.2,3443,65.9,1.8,3120,59.7,1.8
..White non-Hispanic alone or in combination,4374,4210,96.2,0.8,3125,71.4,1.8,2856,65.3,1.9
.Black alone or in combination ,858,745,86.9,3.8,535,62.3,5.4,473,55.2,5.6
.Asian alone or in combination,337,197,58.3,9.2,115,34.1,8.8,107,31.8,8.7
NEW MEXICO,,,,,,,,,,
.Total,1375,1301,94.6,1.2,936,68.1,2.4,837,60.9,2.5
.Male,658,621,94.4,1.7,436,66.2,3.5,392,59.6,3.7
.Female,717,680,94.7,1.6,501,69.8,3.3,445,62,3.5
.White alone,1151,1087,94.4,1.3,792,68.8,2.6,715,62.1,2.7
..White non-Hispanic alone,660,653,98.9,0.8,509,77.1,3.1,471,71.4,3.4
.Black alone,34,34,(B),(B),23,(B),(B),23,(B),(B)
.Asian alone,11,3,(B),(B),3,(B),(B),3,(B),(B)
.Hispanic (of any race),544,486,89.2,4,316,58,6.4,276,50.6,6.4
.White alone or in combination,1181,1115,94.4,1.3,807,68.3,2.6,728,61.7,2.7
..White non-Hispanic alone or in combination,677,669,98.9,0.8,519,76.7,3.1,480,70.9,3.3
.Black alone or in combination ,39,39,(B),(B),26,(B),(B),26,(B),(B)
.Asian alone or in combination,11,3,(B),(B),3,(B),(B),3,(B),(B)
NEW YORK,,,,,,,,,,
.Total,14492,12779,88.2,0.8,8624,59.5,1.2,7698,53.1,1.2
.Male,6865,6043,88,1.1,3965,57.8,1.7,3561,51.9,1.7
.Female,7627,6736,88.3,1,4659,61.1,1.6,4137,54.2,1.6
.White alone,11055,10122,91.6,0.7,7090,64.1,1.3,6366,57.6,1.3
..White non-Hispanic alone,9389,9005,95.9,0.6,6457,68.8,1.4,5846,62.3,1.4
.Black alone,2354,1924,81.7,2.7,1188,50.5,3.5,1042,44.3,3.5
.Asian alone,939,614,65.3,5.5,287,30.5,5.4,241,25.7,5.1
.Hispanic (of any race),1976,1346,68.1,4.7,754,38.2,4.8,613,31,4.6
.White alone or in combination,11130,10190,91.6,0.7,7118,64,1.3,6389,57.4,1.3
..White non-Hispanic alone or in combination,9444,9059,95.9,0.6,6485,68.7,1.3,5870,62.2,1.4
.Black alone or in combination ,2421,1981,81.8,2.7,1203,49.7,3.5,1055,43.6,3.4
.Asian alone or in combination,953,627,65.8,5.5,297,31.2,5.4,246,25.8,5.1
NORTH CAROLINA,,,,,,,,,,
.Total,6250,5923,94.8,0.8,4292,68.7,1.7,3639,58.2,1.8
.Male,2979,2806,94.2,1.3,1958,65.7,2.6,1626,54.6,2.7
.Female,3271,3117,95.3,1.1,2334,71.3,2.3,2013,61.5,2.5
.White alone,4709,4461,94.7,1,3268,69.4,2,2736,58.1,2.1
..White non-Hispanic alone,4408,4355,98.8,0.5,3227,73.2,2,2713,61.5,2.2
.Black alone,1241,1213,97.7,1.5,874,70.4,4.6,784,63.1,4.9
.Asian alone,125,85,67.6,15.6,43,34.4,15.8,43,34.4,15.8
.Hispanic (of any race),327,109,33.4,12.1,44,13.4,8.7,27,8.2,7
.White alone or in combination,4750,4502,94.8,1,3296,69.4,2,2758,58.1,2.1
..White non-Hispanic alone or in combination,4449,4396,98.8,0.5,3255,73.2,2,2735,61.5,2.2
.Black alone or in combination ,1259,1230,97.7,1.5,887,70.4,4.6,792,62.9,4.9
.Asian alone or in combination,130,89,68.7,15.2,47,36.5,15.8,47,36.5,15.8
NORTH DAKOTA,,,,,,,,,,
.Total,466,462,99.1,0.5,412,88.5,1.5,330,70.8,2.1
.Male,228,226,99.3,0.6,199,87.6,2.2,158,69.2,3.1
.Female,238,235,98.8,0.7,213,89.3,2,172,72.4,2.9
.White alone,443,440,99.4,0.4,393,88.8,1.5,318,71.9,2.2
..White non-Hispanic alone,439,436,99.4,0.4,390,89,1.5,317,72.3,2.2
.Black alone,3,3,(B),(B),2,(B),(B),1,(B),(B)
.Asian alone,-,-,(B),(B),-,(B),(B),-,(B),(B)
.Hispanic (of any race),6,6,(B),(B),4,(B),(B),2,(B),(B)
.White alone or in combination,447,444,99.3,0.4,397,88.7,1.5,321,71.8,2.2
..White non-Hispanic alone or in combination,442,439,99.3,0.4,393,89,1.5,319,72.2,2.2
.Black alone or in combination ,4,4,(B),(B),3,(B),(B),2,(B),(B)
.Asian alone or in combination,-,-,(B),(B),-,(B),(B),-,(B),(B)
OHIO,,,,,,,,,,
.Total,8469,8305,98.1,0.5,6003,70.9,1.5,5485,64.8,1.6
.Male,4037,3953,97.9,0.7,2813,69.7,2.2,2581,63.9,2.3
.Female,4432,4352,98.2,0.6,3190,72,2,2905,65.5,2.1
.White alone,7381,7263,98.4,0.4,5268,71.4,1.6,4802,65.1,1.7
..White non-Hispanic alone,7188,7149,99.4,0.3,5179,72,1.6,4723,65.7,1.7
.Black alone,895,876,97.9,1.8,630,70.3,5.5,586,65.5,5.8
.Asian alone,73,45,(B),(B),20,(B),(B),20,(B),(B)
.Hispanic (of any race),209,130,62.5,15.8,100,47.7,16.3,90,43.1,16.2
.White alone or in combination,7460,7342,98.4,0.4,5318,71.3,1.6,4844,64.9,1.7
..White non-Hispanic alone or in combination,7257,7218,99.5,0.3,5222,72,1.6,4757,65.5,1.7
.Black alone or in combination ,923,904,97.9,1.7,648,70.3,5.5,603,65.3,5.7
.Asian alone or in combination,80,52,(B),(B),25,(B),(B),25,(B),(B)
OKLAHOMA,,,,,,,,,,
.Total,2602,2476,95.2,1,1781,68.4,2.2,1541,59.2,2.3
.Male,1247,1184,94.9,1.5,844,67.7,3.2,724,58,3.3
.Female,1355,1292,95.4,1.4,937,69.2,3,818,60.3,3.2
.White alone,2031,1946,95.8,1.1,1450,71.4,2.4,1271,62.6,2.6
..White non-Hispanic alone,1925,1902,98.8,0.6,1423,73.9,2.4,1248,64.8,2.6
.Black alone,190,183,96,4.1,118,61.8,10.2,104,54.7,10.5
.Asian alone,34,17,(B),(B),10,(B),(B),5,(B),(B)
.Hispanic (of any race),135,57,42.6,16,29,21.7,13.4,25,18.9,12.7
.White alone or in combination,2232,2131,95.5,1.1,1573,70.4,2.3,1366,61.2,2.5
..White non-Hispanic alone or in combination,2102,2078,98.9,0.6,1543,73.4,2.3,1341,63.8,2.5
.Black alone or in combination ,204,196,96.2,3.9,123,60.3,9.9,110,53.7,10.1
.Asian alone or in combination,36,19,(B),(B),10,(B),(B),5,(B),(B)
OREGON,,,,,,,,,,
.Total,2727,2600,95.3,0.9,2049,75.2,1.9,1924,70.6,2
.Male,1340,1266,94.5,1.5,972,72.5,2.8,911,68,3
.Female,1387,1333,96.1,1.2,1078,77.7,2.6,1013,73,2.8
.White alone,2498,2405,96.3,0.9,1941,77.7,1.9,1824,73,2.1
..White non-Hispanic alone,2348,2334,99.4,0.4,1902,81,1.9,1791,76.2,2
.Black alone,48,48,(B),(B),21,(B),(B),21,(B),(B)
.Asian alone,103,81,78.7,11.9,41,39.4,14.2,39,37.6,14
.Hispanic (of any race),165,79,47.9,14.2,41,25,12.4,36,21.7,11.8
.White alone or in combination,2540,2446,96.3,0.9,1970,77.6,1.9,1853,72.9,2.1
..White non-Hispanic alone or in combination,2386,2372,99.4,0.4,1929,80.8,1.9,1817,76.1,2
.Black alone or in combination ,52,52,(B),(B),26,(B),(B),26,(B),(B)
.Asian alone or in combination,111,90,80.3,11.1,47,41.9,13.8,44,39.4,13.6
PENNSYLVANIA,,,,,,,,,,
.Total,9356,9055,96.8,0.5,6481,69.3,1.4,5845,62.5,1.4
.Male,4467,4311,96.5,0.8,3052,68.3,2,2740,61.3,2.1
.Female,4889,4743,97,0.7,3429,70.1,1.9,3105,63.5,2
.White alone,8218,8036,97.8,0.5,5853,71.2,1.4,5291,64.4,1.5
..White non-Hispanic alone,7998,7886,98.6,0.4,5769,72.1,1.4,5209,65.1,1.5
.Black alone,853,816,95.6,2.4,523,61.3,5.8,474,55.6,5.9
.Asian alone,210,135,64.3,12,60,28.7,11.4,43,20.5,10.1
.Hispanic (of any race),255,179,70.3,13,95,37.5,13.7,88,34.5,13.5
.White alone or in combination,8259,8077,97.8,0.5,5884,71.2,1.4,5316,64.4,1.5
..White non-Hispanic alone or in combination,8038,7927,98.6,0.4,5800,72.2,1.4,5234,65.1,1.5
.Black alone or in combination ,889,851,95.8,2.3,549,61.8,5.7,500,56.3,5.8
.Asian alone or in combination,210,135,64.3,12,60,28.7,11.4,43,20.5,10.1
RHODE ISLAND,,,,,,,,,,
.Total,813,732,90,1.2,522,64.2,1.9,467,57.4,2
.Male,385,342,88.9,1.8,236,61.3,2.8,213,55.4,2.9
.Female,428,390,91.1,1.6,286,66.7,2.6,253,59.2,2.7
.White alone,732,681,93.1,1.1,494,67.4,2,442,60.4,2
..White non-Hispanic alone,680,655,96.4,0.8,478,70.3,2,431,63.3,2.1
.Black alone,46,34,(B),(B),19,(B),(B),17,(B),(B)
.Asian alone,27,11,(B),(B),5,(B),(B),5,(B),(B)
.Hispanic (of any race),58,28,(B),(B),17,(B),(B),13,(B),(B)
.White alone or in combination,735,684,93.1,1.1,496,67.4,2,444,60.4,2
..White non-Hispanic alone or in combination,683,658,96.3,0.8,480,70.3,2,432,63.3,2.1
.Black alone or in combination ,48,36,(B),(B),21,(B),(B),18,(B),(B)
.Asian alone or in combination,28,11,(B),(B),5,(B),(B),5,(B),(B)
SOUTH CAROLINA,,,,,,,,,,
.Total,3061,3002,98.1,0.6,2238,73.1,2.1,1899,62,2.3
.Male,1441,1408,97.7,1,1009,70,3.1,862,59.8,3.3
.Female,1620,1594,98.4,0.8,1230,75.9,2.7,1037,64,3.1
.White alone,2188,2132,97.5,0.9,1627,74.4,2.4,1387,63.4,2.6
..White non-Hispanic alone,2142,2120,98.9,0.6,1617,75.5,2.4,1377,64.3,2.7
.Black alone,837,834,99.6,0.6,595,71.1,4.9,498,59.5,5.3
.Asian alone,4,4,(B),(B),-,(B),(B),-,(B),(B)
.Hispanic (of any race),52,16,(B),(B),13,(B),(B),13,(B),(B)
.White alone or in combination,2208,2153,97.5,0.9,1636,74.1,2.4,1394,63.1,2.6
..White non-Hispanic alone or in combination,2163,2140,99,0.6,1626,75.2,2.4,1384,64,2.7
.Black alone or in combination ,843,840,99.6,0.6,599,71.1,4.9,500,59.3,5.3
.Asian alone or in combination,4,4,(B),(B),-,(B),(B),-,(B),(B)
SOUTH DAKOTA,,,,,,,,,,
.Total,564,554,98.2,0.6,425,75.5,1.8,378,67.1,2
.Male,275,269,98,0.9,196,71.4,2.8,174,63.3,3
.Female,289,284,98.4,0.7,229,79.3,2.4,204,70.6,2.7
.White alone,530,524,98.9,0.5,408,77,1.9,366,69,2
..White non-Hispanic alone,521,519,99.6,0.3,405,77.8,1.9,363,69.6,2.1
.Black alone,2,1,(B),(B),-,(B),(B),-,(B),(B)
.Asian alone,7,4,(B),(B),1,(B),(B),1,(B),(B)
.Hispanic (of any race),10,6,(B),(B),4,(B),(B),4,(B),(B)
.White alone or in combination,535,530,98.9,0.5,412,76.9,1.9,368,68.6,2
..White non-Hispanic alone or in combination,527,525,99.6,0.3,409,77.6,1.8,365,69.2,2
.Black alone or in combination ,3,2,(B),(B),1,(B),(B),1,(B),(B)
.Asian alone or in combination,7,4,(B),(B),1,(B),(B),1,(B),(B)
TENNESSEE,,,,,,,,,,
.Total,4402,4250,96.5,0.9,2739,62.2,2.4,2319,52.7,2.5
.Male,2118,2035,96.1,1.4,1262,59.6,3.5,1075,50.8,3.6
.Female,2283,2215,97,1.2,1477,64.7,3.3,1243,54.5,3.4
.White alone,3655,3550,97.1,0.9,2288,62.6,2.6,1954,53.5,2.7
..White non-Hispanic alone,3548,3510,99,0.6,2273,64.1,2.6,1945,54.8,2.7
.Black alone,651,638,98,2.2,416,63.9,7.5,334,51.3,7.8
.Asian alone,29,6,(B),(B),6,(B),(B),6,(B),(B)
.Hispanic (of any race),128,48,37.3,22,16,12.3,15,9,7.2,11.8
.White alone or in combination,3695,3585,97,0.9,2309,62.5,2.6,1971,53.3,2.7
..White non-Hispanic alone or in combination,3582,3545,99,0.6,2294,64,2.6,1962,54.8,2.7
.Black alone or in combination ,651,638,98,2.2,416,63.9,7.5,334,51.3,7.8
.Asian alone or in combination,29,6,(B),(B),6,(B),(B),6,(B),(B)
TEXAS,,,,,,,,,,
.Total,15813,13925,88.1,0.9,9681,61.2,1.3,7950,50.3,1.3
.Male,7667,6689,87.2,1.3,4548,59.3,1.9,3684,48.1,1.9
.Female,8146,7237,88.8,1.2,5133,63,1.8,4266,52.4,1.8
.White alone,13246,11639,87.9,0.9,8148,61.5,1.4,6706,50.6,1.4
..White non-Hispanic alone,8246,8107,98.3,0.5,6065,73.6,1.6,5232,63.4,1.8
.Black alone,1669,1613,96.7,1.8,1141,68.4,4.6,931,55.8,4.9
.Asian alone,508,356,70,8.5,190,37.5,9,152,29.9,8.5
.Hispanic (of any race),5232,3688,70.5,3.3,2170,41.5,3.5,1533,29.3,3.3
.White alone or in combination,13490,11826,87.7,0.9,8282,61.4,1.4,6808,50.5,1.4
..White non-Hispanic alone or in combination,8370,8225,98.3,0.5,6144,73.4,1.6,5292,63.2,1.7
.Black alone or in combination ,1721,1662,96.6,1.8,1173,68.2,4.5,955,55.5,4.8
.Asian alone or in combination,535,376,70.3,8.2,199,37.2,8.7,160,30,8.3
UTAH,,,,,,,,,,
.Total,1629,1508,92.5,1.2,1141,70.1,2.2,1022,62.8,2.3
.Male,811,745,91.9,1.8,547,67.5,3.1,494,60.9,3.3
.Female,818,763,93.2,1.7,594,72.6,3,529,64.6,3.2
.White alone,1561,1469,94.1,1.1,1120,71.7,2.2,1003,64.3,2.3
..White non-Hispanic alone,1461,1404,96.1,1,1094,74.9,2.2,979,67,2.4
.Black alone,10,6,(B),(B),5,(B),(B),5,(B),(B)
.Asian alone,32,15,(B),(B),8,(B),(B),8,(B),(B)
.Hispanic (of any race),104,67,64.3,14.1,28,27,13.1,27,25.8,12.9
.White alone or in combination,1569,1476,94,1.1,1125,71.7,2.2,1007,64.2,2.3
..White non-Hispanic alone or in combination,1466,1409,96.1,1,1097,74.8,2.2,981,66.9,2.4
.Black alone or in combination ,11,7,(B),(B),6,(B),(B),5,(B),(B)
.Asian alone or in combination,33,16,(B),(B),8,(B),(B),8,(B),(B)
VERMONT,,,,,,,,,,
.Total,482,469,97.2,0.7,354,73.5,1.9,316,65.4,2
.Male,233,228,97.5,1,168,72.1,2.7,147,63.2,3
.Female,249,241,96.9,1,186,74.7,2.6,168,67.6,2.8
.White alone,463,454,98,0.6,344,74.4,1.9,308,66.5,2.1
..White non-Hispanic alone,460,450,98,0.6,342,74.4,1.9,306,66.5,2.1
.Black alone,2,1,(B),(B),-,(B),(B),-,(B),(B)
.Asian alone,7,3,(B),(B),2,(B),(B),1,(B),(B)
.Hispanic (of any race),3,3,(B),(B),2,(B),(B),2,(B),(B)
.White alone or in combination,471,461,98.1,0.6,350,74.4,1.9,312,66.3,2
..White non-Hispanic alone or in combination,467,458,98,0.6,348,74.4,1.9,310,66.3,2
.Black alone or in combination ,2,1,(B),(B),-,(B),(B),-,(B),(B)
.Asian alone or in combination,8,4,(B),(B),2,(B),(B),2,(B),(B)
VIRGINIA,,,,,,,,,,
.Total,5364,4971,92.7,1.2,3441,64.1,2.1,3134,58.4,2.2
.Male,2538,2325,91.6,1.8,1584,62.4,3.1,1444,56.9,3.2
.Female,2826,2646,93.7,1.5,1856,65.7,2.9,1690,59.8,3
.White alone,4101,3863,94.2,1.2,2798,68.2,2.4,2586,63,2.4
..White non-Hispanic alone,3814,3741,98.1,0.7,2731,71.6,2.4,2525,66.2,2.5
.Black alone,961,915,95.2,2.7,551,57.4,6.3,477,49.6,6.3
.Asian alone,251,149,59.5,12.7,58,23,10.9,43,17.3,9.8
.Hispanic (of any race),301,135,45,14.6,78,26,12.9,70,23.1,12.4
.White alone or in combination,4129,3890,94.2,1.2,2819,68.3,2.3,2604,63.1,2.4
..White non-Hispanic alone or in combination,3836,3764,98.1,0.7,2749,71.7,2.4,2543,66.3,2.5
.Black alone or in combination ,972,926,95.2,2.7,560,57.6,6.2,481,49.5,6.3
.Asian alone or in combination,255,153,60,12.6,61,24.1,11,45,17.6,9.8
WASHINGTON,,,,,,,,,,
.Total,4596,4220,91.8,1.2,3133,68.2,2,2851,62,2.1
.Male,2214,2031,91.7,1.7,1488,67.2,3,1343,60.7,3.1
.Female,2382,2190,91.9,1.7,1645,69,2.8,1508,63.3,2.9
.White alone,3792,3584,94.5,1.1,2722,71.8,2.2,2497,65.9,2.3
..White non-Hispanic alone,3584,3483,97.2,0.8,2674,74.6,2.2,2461,68.7,2.3
.Black alone,141,141,100,-,80,56.7,15,67,47.6,15.1
.Asian alone,404,257,63.7,9,159,39.4,9.1,147,36.3,9
.Hispanic (of any race),248,120,48.4,14.8,56,22.4,12.4,44,17.6,11.3
.White alone or in combination,3941,3728,94.6,1.1,2842,72.1,2.1,2592,65.8,2.2
..White non-Hispanic alone or in combination,3720,3619,97.3,0.8,2791,75,2.1,2553,68.6,2.3
.Black alone or in combination ,175,167,95.3,5.7,99,56.8,13.5,83,47.5,13.6
.Asian alone or in combination,443,297,66.9,8.4,191,43.2,8.8,169,38.1,8.7
WEST VIRGINIA,,,,,,,,,,
.Total,1395,1394,99.9,0.1,935,67,2.1,798,57.2,2.2
.Male,676,676,100,-,434,64.2,3,367,54.3,3.2
.Female,720,718,99.8,0.2,502,69.7,2.8,431,59.8,3
.White alone,1331,1330,99.9,0.1,897,67.4,2.1,765,57.5,2.2
..White non-Hispanic alone,1326,1325,99.9,0.1,896,67.5,2.1,764,57.6,2.2
.Black alone,42,42,(B),(B),23,(B),(B),20,(B),(B)
.Asian alone,5,5,(B),(B),3,(B),(B),2,(B),(B)
.Hispanic (of any race),5,5,(B),(B),1,(B),(B),1,(B),(B)
.White alone or in combination,1345,1344,99.9,0.1,907,67.5,2.1,775,57.6,2.2
..White non-Hispanic alone or in combination,1340,1339,99.9,0.1,906,67.6,2.1,774,57.7,2.2
.Black alone or in combination ,46,46,(B),(B),26,(B),(B),22,(B),(B)
.Asian alone or in combination,5,5,(B),(B),3,(B),(B),2,(B),(B)
WISCONSIN,,,,,,,,,,
.Total,4126,3928,95.2,0.8,3225,78.2,1.6,3010,73,1.8
.Male,2017,1918,95.1,1.2,1551,76.9,2.4,1449,71.9,2.6
.Female,2109,2010,95.3,1.2,1675,79.4,2.3,1561,74,2.4
.White alone,3793,3640,96,0.8,3019,79.6,1.7,2816,74.2,1.8
..White non-Hispanic alone,3601,3546,98.5,0.5,2952,82,1.6,2754,76.5,1.8
.Black alone,195,191,98.3,2.9,141,72.6,9.9,133,68.1,10.3
.Asian alone,85,46,(B),(B),24,(B),(B),24,(B),(B)
.Hispanic (of any race),203,99,48.7,14.1,72,35.5,13.5,67,33,13.2
.White alone or in combination,3825,3669,95.9,0.8,3042,79.5,1.7,2838,74.2,1.8
..White non-Hispanic alone or in combination,3628,3574,98.5,0.5,2973,81.9,1.6,2774,76.5,1.8
.Black alone or in combination ,204,201,98.4,2.7,149,73,9.6,140,68.7,10
.Asian alone or in combination,86,48,(B),(B),26,(B),(B),26,(B),(B)
WYOMING,,,,,,,,,,
.Total,373,370,99.1,0.4,265,71,2.1,247,66.3,2.2
.Male,187,185,98.8,0.7,129,69.2,3,122,65,3.1
.Female,186,185,99.4,0.5,135,72.8,2.9,126,67.6,3.1
.White alone,358,356,99.4,0.4,258,72,2.1,241,67.4,2.2
..White non-Hispanic alone,339,339,99.9,0.1,247,72.9,2.2,231,68.2,2.3
.Black alone,3,2,(B),(B),1,(B),(B),1,(B),(B)
.Asian alone,2,2,(B),(B),-,(B),(B),-,(B),(B)
.Hispanic (of any race),20,17,(B),(B),11,(B),(B),10,(B),(B)
.White alone or in combination,364,362,99.4,0.4,261,71.7,2.1,244,67,2.2
..White non-Hispanic alone or in combination,345,345,99.9,0.1,250,72.4,2.1,234,67.7,2.2
.Black alone or in combination ,3,2,(B),(B),1,(B),(B),1,(B),(B)
.Asian alone or in combination,3,3,(B),(B),1,(B),(B),1,(B),(B)
,,,,,,,,,,
Footnotes:,,,,,,,,,,
1This figure added to or subtracted from the estimate provides the 90-percent confidence interval.,,,,,,,,,,
Note: The symbol (B) means that the base is too small to show the derived measure.,,,,,,,,,,
"Note: "" - "" Represents zero or rounds to zero.",,,,,,,,,,
,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 2004.",,,,,,,,,,
"Internet Release date: May 25, 2005",,,,,,,,,,
